Sector,Crime Count,
NORTHEAST,4,
NORTHEAST,4,
SOUTH,3,
SOUTH,2,
SOUTH,13,
SOUTH,2,
EAST,5,
EAST,1,
EAST,2,
EAST,1,
EAST,1,
EAST,9,
EAST,5,
EAST,3,
CENTRE,3,
CENTRE,2,
CENTRE,3,
CENTRE,1,
CENTRE,3,
CENTRE,6,
CENTRE,2,
CENTRE,1,
EAST,1,
EAST,1,
EAST,3,
EAST,1,
EAST,1,
NORTHWEST,4,
NORTHWEST,1,
NORTHWEST,1,
NORTHWEST,2,
NORTHWEST,12,
NORTHWEST,2,
NORTHWEST,1,
WEST,2,
WEST,1,
WEST,1,
SOUTHEAST,1,
SOUTHEAST,3,
SOUTHEAST,2,
CENTRE,2,
CENTRE,2,
CENTRE,1,
CENTRE,7,
CENTRE,10,
CENTRE,4,
CENTRE,2,
CENTRE,9,
CENTRE,1,
CENTRE,1,
NORTH,2,
NORTH,1,
NORTH,2,
NORTH,1,
NORTH,8,
NORTH,4,
NORTH,2,
SOUTH,1,
CENTRE,15,
CENTRE,12,
CENTRE,1,
CENTRE,1,
CENTRE,19,
CENTRE,8,
CENTRE,4,
NORTHWEST,7,
NORTHWEST,3,
NORTHWEST,2,
NORTHWEST,1,
NORTHWEST,15,
NORTHWEST,8,
NORTHWEST,2,
SOUTH,2,
SOUTH,1,
SOUTH,4,
NORTHWEST,5,
NORTHWEST,3,
NORTHWEST,4,
NORTHWEST,1,
NORTHWEST,9,
NORTHWEST,1,
CENTRE,1,
CENTRE,13,
CENTRE,2,
CENTRE,2,
CENTRE,15,
CENTRE,1,
,1,
NORTHWEST,1,
CENTRE,2,
SOUTH,1,
SOUTH,1,
SOUTH,3,
CENTRE,1,
CENTRE,1,
CENTRE,1,
CENTRE,3,
NORTHEAST,9,
NORTHEAST,1,
CENTRE,1,
CENTRE,4,
SOUTH,1,
SOUTH,2,
SOUTH,6,
SOUTH,1,
CENTRE,1,
CENTRE,5,
CENTRE,1,
CENTRE,8,
CENTRE,4,
NORTH,1,
NORTHEAST,1,
NORTHEAST,2,
NORTHEAST,5,
NORTHEAST,6,
NORTHEAST,1,
SOUTH,1,
SOUTH,3,
SOUTH,5,
SOUTH,1,
SOUTH,5,
SOUTH,3,
SOUTH,3,
SOUTH,1,
NORTHWEST,2,
NORTHWEST,2,
NORTHWEST,4,
NORTHWEST,1,
CENTRE,1,
CENTRE,2,
WEST,2,
WEST,2,
NORTHWEST,1,
NORTHWEST,1,
NORTHWEST,3,
NORTHWEST,1,
NORTHEAST,1,
NORTHEAST,1,
CENTRE,2,
CENTRE,6,
CENTRE,2,
WEST,1,
WEST,1,
